date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:06:57	517/517	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2010%20Apr%202019%2014:36:57%20GMT	https://fossmeet.in/resources/img/speakers/amarjit.jpg	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/resources/img/speakers/amarjit.jpg	(from https://fossmeet.in/)
20:06:57	517/517	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2010%20Apr%202019%2014:36:57%20GMT	https://fossmeet.in/resources/img/speakers/saptak2.png	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/resources/img/speakers/saptak2.png	(from https://fossmeet.in/)
20:06:57	517/517	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2010%20Apr%202019%2014:36:57%20GMT	https://fossmeet.in/resources/img/speakers/devdutt.png	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/resources/img/speakers/devdutt.png	(from https://fossmeet.in/)
20:06:58	517/517	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2010%20Apr%202019%2014:36:57%20GMT	https://fossmeet.in/resources/img/contact/vd.jpg	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/resources/img/contact/vd.jpg	(from https://fossmeet.in/)
20:06:58	517/517	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2010%20Apr%202019%2014:36:57%20GMT	https://fossmeet.in/resources/img/parallax.jpg	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/resources/img/parallax.jpg	(from https://fossmeet.in/)
20:06:58	0/0	UR-M-Z	416	error ('Requested%20range%20not%20satisfiable')	text/javascript	date:Thu,%2025%20Jan%202018%2015:33:24%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	/home/atul/My%20Web%20Sites/fossmeet/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://fossmeet.in/)
20:06:58	517/517	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2010%20Apr%202019%2014:36:58%20GMT	https://fossmeet.in/resources/img/speakers/kannan.png	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/resources/img/speakers/kannan.png	(from https://fossmeet.in/)
20:06:58	517/517	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2010%20Apr%202019%2014:36:58%20GMT	https://fossmeet.in/resources/img/speakers/aravindp.png	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/resources/img/speakers/aravindp.png	(from https://fossmeet.in/)
20:06:59	517/517	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2010%20Apr%202019%2014:36:58%20GMT	https://fossmeet.in/resources/img/sponsors/icfoss.png	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/resources/img/sponsors/icfoss.png	(from https://fossmeet.in/)
20:06:59	517/517	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2010%20Apr%202019%2014:36:58%20GMT	https://fossmeet.in/resources/img/sponsors/fossee.png	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/resources/img/sponsors/fossee.png	(from https://fossmeet.in/)
20:06:59	62491/62491	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://code.getmdl.io/1.3.0/material.min.js	/home/atul/My%20Web%20Sites/fossmeet/code.getmdl.io/1.3.0/material.min.js	(from https://fossmeet.in/)
20:07:00	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2026%20Jan%202019%2010:28:17%20GMT	https://fossmeet.in/resources/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/resources/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from https://fossmeet.in/resources/font-awesome/css/font-awesome.min.css)
20:07:01	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2026%20Jan%202019%2010:28:17%20GMT	https://fossmeet.in/resources/font-awesome/fonts/fontawesome-webfont.eot?	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/resources/font-awesome/fonts/fontawesome-webfontd41d.eot	(from https://fossmeet.in/resources/font-awesome/css/font-awesome.min.css)
20:07:01	77160/77160	---MCZ	200	added ('OK')	font/woff2	date:Sat,%2026%20Jan%202019%2010:28:17%20GMT	https://fossmeet.in/resources/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/resources/font-awesome/fonts/fontawesome-webfont3e6e.woff2	(from https://fossmeet.in/resources/font-awesome/css/font-awesome.min.css)
20:07:02	98024/98024	---MCZ	200	added ('OK')	font/woff	date:Sat,%2026%20Jan%202019%2010:28:17%20GMT	https://fossmeet.in/resources/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/resources/font-awesome/fonts/fontawesome-webfont3e6e.woff	(from https://fossmeet.in/resources/font-awesome/css/font-awesome.min.css)
20:07:03	165548/165548	---MCZ	200	added ('OK')	font/ttf	date:Sat,%2026%20Jan%202019%2010:28:17%20GMT	https://fossmeet.in/resources/font-awesome/fonts/fontawesome-webfont.ttf?v=4.7.0	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/resources/font-awesome/fonts/fontawesome-webfont3e6e.ttf	(from https://fossmeet.in/resources/font-awesome/css/font-awesome.min.css)
20:07:03	77160/77160	UR-MCZ	200	added ('OK')	font/woff2	date:Sat,%2026%20Jan%202019%2010:28:17%20GMT	https://fossmeet.in/resources/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/resources/font-awesome/fonts/fontawesome-webfont3e6e.woff2	(from https://fossmeet.in/resources/font-awesome/css/font-awesome.min.css)
20:07:04	7160/-1	---M--	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202019%2014:37:04%20GMT	https://fossmeet.in/schedule/	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/schedule/index.html	(from https://fossmeet.in/)
20:07:05	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2026%20Jan%202019%2010:28:17%20GMT	https://fossmeet.in/resources/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0	/home/atul/My%20Web%20Sites/fossmeet/fossmeet.in/resources/font-awesome/fonts/fontawesome-webfont3e6e.svg	(from https://fossmeet.in/resources/font-awesome/css/font-awesome.min.css)
